model,MAE,RMSE,R2
Linear Regression,3.060939595437081,4.7009248906037975,0.6844267283527082
Random Forest,2.1481259842519673,3.2209271834768067,0.8518521336172665
Gradient Boosting,2.0277682484943322,2.992681236757528,0.8721047222908935
